Lambda,Mu,Max time of simulation,Average time spent,Theoretical avg time spent,N of queues,D choice

0.5,1,1000.0,1.618334787750319,1.536,1000,1
0.9,1,1000.0,3.490718979225149,3.568888888888889,1000,1
0.95,1,1000.0,4.709661416633456,5.058947368421053,1000,1
0.99,1,1000.0,8.148365684105837,9.8,1000,1
---,---,---,---,---,---,---
0.5,1,1000.0,1.1383146675963078,1.146,1000,2
0.9,1,1000.0,1.5342983624983093,1.53,1000,2
0.95,1,1000.0,1.7346026263247585,1.7936842105263158,1000,2
0.99,1,1000.0,2.1788693733965956,2.386868686868687,1000,2
---,---,---,---,---,---,---
0.5,1,1000.0,1.0086807738427326,0.98,1000,5
0.9,1,1000.0,1.1494203142128254,1.13,1000,5
0.95,1,1000.0,1.2358988526515777,1.2694736842105263,1000,5
0.99,1,1000.0,1.437634100394997,1.412121212121212,1000,5
---,---,---,---,---,---,---
0.5,1,1000.0,0.9985663437409541,0.96,1000,10
0.9,1,1000.0,1.0442264410916842,1.0788888888888888,1000,10
0.95,1,1000.0,1.0883385146243012,1.1157894736842107,1000,10
0.99,1,1000.0,1.240187164619755,1.0444444444444445,1000,10
