Lambda,Mu,Max time of simulation,Average time spent,Theoretical avg time spent,N of queues,D choice

0.5,1,1000.0,1.988424688135503,1.884,1000,1
0.9,1,1000.0,8.965943759767447,9.324444444444444,1000,1
0.95,1,1000.0,14.338723108893003,18.602105263157895,1000,1
0.99,1,1000.0,20.495258445671805,31.03131313131313,1000,1
---,---,---,---,---,---,---
0.5,1,1000.0,1.2595633587724249,1.316,1000,2
0.9,1,1000.0,2.615949469281243,2.962222222222222,1000,2
0.95,1,1000.0,3.317727061111331,3.6610526315789476,1000,2
0.99,1,1000.0,5.022707839112755,5.091919191919192,1000,2
---,---,---,---,---,---,---
0.5,1,1000.0,1.0299122011632031,1.01,1000,5
0.9,1,1000.0,1.6367482243261924,1.5722222222222222,1000,5
0.95,1,1000.0,2.0045423785327423,1.976842105263158,1000,5
0.99,1,1000.0,2.7415073790561717,2.8282828282828283,1000,5
---,---,---,---,---,---,---
0.5,1,1000.0,1.0017975762468376,1.014,1000,10
0.9,1,1000.0,1.3429162681675721,1.42,1000,10
0.95,1,1000.0,1.5963790408253142,1.6842105263157896,1000,10
0.99,1,1000.0,2.2169781728988793,2.9525252525252528,1000,10
